,variable_codename_use,variable_description_use,harmonized_categories,harmonized_categories_description,in_dataset
1,DMDBORN4,In what country {were you/was SP} born?,1,"Born in 50 US states or Washington, DC",Demographics
2,DMDBORN4,In what country {were you/was SP} born?,2,Others,Demographics
3,DMDBORN4,In what country {were you/was SP} born?,77,Refused,Demographics
4,DMDBORN4,In what country {were you/was SP} born?,99,Don't Know,Demographics
5,DMDEDUC2,Education level - Adults 20+,1,Less Than 9th Grade,Demographics
6,DMDEDUC2,Education level - Adults 20+,2,9-11th Grade (Includes 12th grade with no diploma),Demographics
7,DMDEDUC2,Education level - Adults 20+,3,High School Grad/GED or Equivalent,Demographics
8,DMDEDUC2,Education level - Adults 20+,4,Some College or AA degree,Demographics
9,DMDEDUC2,Education level - Adults 20+,5,College Graduate or above,Demographics
10,DMDEDUC2,Education level - Adults 20+,7,Refused,Demographics
11,DMDEDUC2,Education level - Adults 20+,9,Don't know,Demographics
12,DMDEDUC3,Education level - Children/Youth 6-19,0,Never Attended / Kindergarten Only,Demographics
13,DMDEDUC3,Education level - Children/Youth 6-19,1,1st Grade,Demographics
14,DMDEDUC3,Education level - Children/Youth 6-19,2,2nd Grade,Demographics
15,DMDEDUC3,Education level - Children/Youth 6-19,3,3rd Grade,Demographics
16,DMDEDUC3,Education level - Children/Youth 6-19,4,4th Grade,Demographics
17,DMDEDUC3,Education level - Children/Youth 6-19,5,5th Grade,Demographics
18,DMDEDUC3,Education level - Children/Youth 6-19,6,6th Grade,Demographics
19,DMDEDUC3,Education level - Children/Youth 6-19,7,7th Grade,Demographics
20,DMDEDUC3,Education level - Children/Youth 6-19,8,8th Grade,Demographics
21,DMDEDUC3,Education level - Children/Youth 6-19,9,9th Grade,Demographics
22,DMDEDUC3,Education level - Children/Youth 6-19,10,10th Grade,Demographics
23,DMDEDUC3,Education level - Children/Youth 6-19,11,11th Grade,Demographics
24,DMDEDUC3,Education level - Children/Youth 6-19,12,"12th Grade, No Diploma",Demographics
25,DMDEDUC3,Education level - Children/Youth 6-19,13,High School Graduate,Demographics
26,DMDEDUC3,Education level - Children/Youth 6-19,14,GED or Equivalent,Demographics
27,DMDEDUC3,Education level - Children/Youth 6-19,15,More than high school,Demographics
28,DMDEDUC3,Education level - Children/Youth 6-19,55,Less Than 5th Grade,Demographics
29,DMDEDUC3,Education level - Children/Youth 6-19,66,Less Than 9th Grade,Demographics
30,DMDEDUC3,Education level - Children/Youth 6-19,77,Refused,Demographics
31,DMDEDUC3,Education level - Children/Youth 6-19,99,Don't know,Demographics
32,DMDFMSIZ,Total number of people in the Family,1,1,Demographics
33,DMDFMSIZ,Total number of people in the Family,2,2,Demographics
34,DMDFMSIZ,Total number of people in the Family,3,3,Demographics
35,DMDFMSIZ,Total number of people in the Family,4,4,Demographics
36,DMDFMSIZ,Total number of people in the Family,5,5,Demographics
37,DMDFMSIZ,Total number of people in the Family,6,6,Demographics
38,DMDFMSIZ,Total number of people in the Family,7,7 or more people in the Family,Demographics
39,DMDHHSIZ,Total number of people in the Household,1,1,Demographics
40,DMDHHSIZ,Total number of people in the Household,2,2,Demographics
41,DMDHHSIZ,Total number of people in the Household,3,3,Demographics
42,DMDHHSIZ,Total number of people in the Household,4,4,Demographics
43,DMDHHSIZ,Total number of people in the Household,5,5,Demographics
44,DMDHHSIZ,Total number of people in the Household,6,6,Demographics
45,DMDHHSIZ,Total number of people in the Household,7,7 or more people in the Household,Demographics
46,DMDHRAGE,Age in years of the household reference person at the time of HH screening.,1,<20 years,Demographics
47,DMDHRAGE,Age in years of the household reference person at the time of HH screening.,2,20-39 years,Demographics
48,DMDHRAGE,Age in years of the household reference person at the time of HH screening.,3,40-59 years,Demographics
49,DMDHRAGE,Age in years of the household reference person at the time of HH screening.,4,60+ years,Demographics
50,DMDYRSUS,Length of time the participant has been in the US.,1,Less than 1 year,Demographics
51,DMDYRSUS,Length of time the participant has been in the US.,2,"1 yr., less than 5 yrs.",Demographics
52,DMDYRSUS,Length of time the participant has been in the US.,3,"5 yrs., less than 10 yrs.",Demographics
53,DMDYRSUS,Length of time the participant has been in the US.,4,"10 yrs., less than 15 yrs.",Demographics
54,DMDHRBR4,HH reference person's country of birth,1,"Born in 50 US states or Washington, DC",Demographics
55,DMDHRBR4,HH reference person's country of birth,2,Others,Demographics
56,DMDHRBR4,HH reference person's country of birth,77,Refused,Demographics
57,DMDHRBR4,HH reference person's country of birth,99,Don't Know,Demographics
58,DMDHREDU,HH reference person's education level,1,Less than high school degree,Demographics
59,DMDHREDU,HH reference person's education level,2,High school grad/GED or some college/AA degree,Demographics
60,DMDHREDU,HH reference person's education level,3,College graduate or above,Demographics
61,DMDHREDU,HH reference person's education level,7,Refused,Demographics
62,DMDHREDU,HH reference person's education level,9,Don't know,Demographics
63,DMDHREDU,HH reference person's education level,9,Don't Know,Demographics
64,DMDHREDU,HH reference person's education level,3,High school grad/GED or some college/AA degree,Demographics
65,DMDHRGND,Gender of the household reference person,1,Male,Demographics
66,DMDHRGND,Gender of the household reference person,2,Female,Demographics
67,DMDHRMAR,Marital Status of household reference person,1,Married/Living with partner,Demographics
68,DMDHRMAR,Marital Status of household reference person,2,Widowed/Divorced/Separated,Demographics
69,DMDHRMAR,Marital Status of household reference person,3,Never Married,Demographics
70,DMDHRMAR,Marital Status of household reference person,77,Refused,Demographics
71,DMDHRMAR,Marital Status of household reference person,99,Don't Know,Demographics
72,DMDHSEDU,HH reference person's spouse's education level,1,Less than high school degree,Demographics
73,DMDHSEDU,HH reference person's spouse's education level,2,High school grad/GED or some college/AA degree,Demographics
74,DMDHSEDU,HH reference person's spouse's education level,3,College graduate or above,Demographics
75,DMDHSEDU,HH reference person's spouse's education level,7,Refused,Demographics
76,DMDHSEDU,HH reference person's spouse's education level,9,Don't Know,Demographics
77,DMDMARTL,Marital status,1,Married,Demographics
78,DMDMARTL,Marital status,2,Widowed,Demographics
79,DMDMARTL,Marital status,3,Divorced,Demographics
80,DMDMARTL,Marital status,4,Separated,Demographics
81,DMDMARTL,Marital status,5,Never married,Demographics
82,DMDMARTL,Marital status,6,Living with partner,Demographics
83,DMDMARTL,Marital status,77,Refused,Demographics
84,DMDMARTL,Marital status,99,Don't know,Demographics
85,DMDYRSUS,Length of time the participant has been in the US.,5,"15 yrs., less than 20 yrs.",Demographics
86,DMDYRSUS,Length of time the participant has been in the US.,6,"20 yrs., less than 30 yrs.",Demographics
87,DMDYRSUS,Length of time the participant has been in the US.,7,"30 yrs., less than 40 yrs.",Demographics
88,DMDYRSUS,Length of time the participant has been in the US.,8,"40 yrs., less than 50 yrs.",Demographics
