_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome
HCP_S1200_DataDictionary_Oct_30_2023.csv,0,Subject,Subject Information > Demographics.Subject,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Subject | description: HCP Subject ID | fullDisplayName: Subject,HCP Subject ID Subject,determine,Gender,0.26,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,1,Release,Subject Information > Demographics.Release,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Release | description: HCP data release in which this subject's data was initially published to ConnectomeDB.   Note: 'Release' does not indicate the version of the pipelines used to process subject data. Check the release-notes distributed with each processed dataset for pipeline version information. | fullDisplayName: Quarter Released,HCP data release in which this subject's data was initially published to ConnectomeDB.   Note: 'Release' does not indicate the version of the pipelines used to process subject data. Check the release-notes distributed with each processed dataset for pipeline version information. Quarter Released,determine,Published Connectomedb,0.0,singleton_keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,2,Acquisition,Subject Information > Demographics.Acquisition,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: Acquisition | description: Quarter in which this subject's 3T and behavioral data (and MEG, if applicable) was initially acquired. Quarter is defined as relative to the start of HCP Phase II data collection. Q1 = 8/2012 - 10/2012 (Aug-Oct), Q2 = 11/2012 - 1/2013, Q3 = 2/2013 - 4/2013, Q4 = 5/2013 - 7/2013, Q5 = 8/2013 - 10/2013, etc. | fullDisplayName: Acquisition Quarter","Quarter in which this subject's 3T and behavioral data (and MEG, if applicable) was initially acquired. Quarter is defined as relative to the start of HCP Phase II data collection. Q1 = 8/2012 - 10/2012 (Aug-Oct), Q2 = 11/2012 - 1/2013, Q3 = 2/2013 - 4/2013, Q4 = 5/2013 - 7/2013, Q5 = 8/2013 - 10/2013, etc. Acquisition Quarter",determine,Quarter Behavioral Data,0.266,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,3,Gender,Subject Information > Demographics.Gender,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Gender | description: Gender of Subject | fullDisplayName: Gender,Gender of Subject Gender,string,Gender,0.26,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,4,Age,Subject Information > Demographics.Age,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: Age | description: Age group of Participant, banded in five-year increments. | fullDisplayName: Age Range","Age group of Participant, banded in five-year increments. Age Range",determine,Group Participant Age Range,0.834,description_title,,No Condition,Subject Information,Demographics,Range,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,5,Age,Subject Information > Demographics.Age__2,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Age | description: Age group of Participant. | fullDisplayName: Age Range,Age group of Participant. Age Range,determine,Group Participant Age Range,0.834,description_title,,No Condition,Subject Information,Demographics,Range,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,6,Age,Subject Information > Demographics.Age__3,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Age | description: Age group of Participant. | fullDisplayName: Age Range,Age group of Participant. Age Range,determine,Group Participant Age Range,0.834,description_title,,No Condition,Subject Information,Demographics,Range,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,7,Age_in_Yrs,Subject Information > Demographics.Age_in_Yrs,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Age_in_Yrs | description: Age of Participant in Years | fullDisplayName: Age in Years,Age of Participant in Years Age in Years,determine,Group Participant Age Range,0.834,description_title,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,8,HasGT,Subject Information > Demographics.HasGT,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: HasGT | description: Genotyping data available from at least one of the 2 gene chips used: (1) Illumina Mega Chip plus content from the Illumina ImmunoArray and PsychArray; (2) Illumina Neuro Consortium Array.   Family structure (i.e., Mother_ID and Father_ID) is genetically verified for pairs of siblings (includings twins and half-silbings) for whom HasGT=TRUE | fullDisplayName: HasGT","Genotyping data available from at least one of the 2 gene chips used: (1) Illumina Mega Chip plus content from the Illumina ImmunoArray and PsychArray; (2) Illumina Neuro Consortium Array.   Family structure (i.e., Mother_ID and Father_ID) is genetically verified for pairs of siblings (includings twins and half-silbings) for whom HasGT=TRUE HasGT",determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,9,ZygositySR,Subject Information > Demographics.ZygositySR,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: ZygositySR | description: Self-reported zygosity. Until the S1200 release this was the \Zygosity\"" measure. The small number of subjects who do not have a value for this measure (blank) self reported as twins but did not self report their twin zygosity."" | fullDisplayName: ZygositySR","Self-reported zygosity. Until the S1200 release this was the \Zygosity\"" measure. The small number of subjects who do not have a value for this measure (blank) self reported as twins but did not self report their twin zygosity."" ZygositySR",determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,10,ZygosityGT,Subject Information > Demographics.ZygosityGT,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: ZygosityGT | description: Twin zygosity verified by genotyping. Requires both subjects in a twin pair to have HasGT=TRUE to have a value (if genotyping is not available for either of a twin pair, no values are given for ZygosityGT).  Non-twin subjects also do not have a value for ZygosityGT.  Note that some subjects self-reported as dizygotic twins (ZygositySR='NotMZ') but genotyping established that they were monozygotic twins (thence ZygosityGT='MZ' for those subjects).  ZygosityGT should be given precedence over ZygositySR. | fullDisplayName: ZygosityGT","Twin zygosity verified by genotyping. Requires both subjects in a twin pair to have HasGT=TRUE to have a value (if genotyping is not available for either of a twin pair, no values are given for ZygosityGT).  Non-twin subjects also do not have a value for ZygosityGT.  Note that some subjects self-reported as dizygotic twins (ZygositySR='NotMZ') but genotyping established that they were monozygotic twins (thence ZygosityGT='MZ' for those subjects).  ZygosityGT should be given precedence over ZygositySR. ZygosityGT",determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,11,Family_ID,Subject Information > Demographics.Family_ID,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Family_ID | description: Lists all Mother_IDs and Father_IDs associated with subjects who share at least one parent. Family_ID does not indicate that siblings grew up in the same household/rearing environment. | fullDisplayName: FamilyID,Lists all Mother_IDs and Father_IDs associated with subjects who share at least one parent. Family_ID does not indicate that siblings grew up in the same household/rearing environment. FamilyID,determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,12,Mother_ID,Subject Information > Demographics.Mother_ID,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: Mother_ID | description: Mother's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Mother_ID was based strictly on self-report.  Mother_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number | fullDisplayName: Mother ID","Mother's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Mother_ID was based strictly on self-report.  Mother_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number Mother ID",determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,13,Father_ID,Subject Information > Demographics.Father_ID,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: Father_ID | description: Father's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Father_ID was based strictly on self-report.  Father_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number | fullDisplayName: Father ID","Father's study ID, based on genotyping between sibling subjects that both have HasGT=TRUE, otherwise is based on self report. Prior to the S1200 release, Father_ID was based strictly on self-report.  Father_IDs that have been changed in the S1200 release based on the genotyping released have a 999xx ID number Father ID",determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,14,TestRetestInterval,Subject Information > Demographics.TestRetestInterval,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: TestRetestInterval | description: Time interval in days between the first scan session of subject's study \Test\"" visit in the main HCP project and the first scan session of their \""Retest\"" visit."" | fullDisplayName: TestRetestInterval","Time interval in days between the first scan session of subject's study \Test\"" visit in the main HCP project and the first scan session of their \""Retest\"" visit."" TestRetestInterval",determine,Quarter Behavioral Data,0.266,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,15,Race,Subject Information > Demographics.Race,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Race | description: Self reported racial identification | fullDisplayName: Race,Self reported racial identification Race,determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,16,Ethnicity,Subject Information > Demographics.Ethnicity,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: Ethnicity | description: Self reported ethnicity | fullDisplayName: Ethnicity,Self reported ethnicity Ethnicity,determine,Self Reported Ethnicity,0.542,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,17,Handedness,Subject Information > Demographics.Handedness,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: Handedness | description: Handedness of participant from -100 to 100 assessed using the Edinburgh Handedness questionnaire [Oldfield RC (1971). The assessment and analysis of handedness: The Edinburgh inventory. Neuropsychologia, 9(1): 97-113.]. Negative numbers indicate that a subject is more left-handed than right-handed, while positive numbers indicate that a subject is more right-handed than left-handed. See Schachter et al., Associations of handedness with hair color and learning disabilities. Neuropsychologia, 25:269-276, 1987. for more information on how these laterality scores are calculated. | fullDisplayName: Handedness","Handedness of participant from -100 to 100 assessed using the Edinburgh Handedness questionnaire [Oldfield RC (1971). The assessment and analysis of handedness: The Edinburgh inventory. Neuropsychologia, 9(1): 97-113.]. Negative numbers indicate that a subject is more left-handed than right-handed, while positive numbers indicate that a subject is more right-handed than left-handed. See Schachter et al., Associations of handedness with hair color and learning disabilities. Neuropsychologia, 25:269-276, 1987. for more information on how these laterality scores are calculated. Handedness",determine,Edinburgh Inventory Neuropsychologia,0.0,singleton_title,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,18,SSAGA_Employ,Subject Information > Demographics.SSAGA_Employ,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: SSAGA_Employ | description: Participant's employment status: not working = 0, part-time employment = 1; full-time employment = 2 | fullDisplayName: Employment Status","Participant's employment status: not working = 0, part-time employment = 1; full-time employment = 2 Employment Status",determine,Yes Relationship Status,0.319,keybert,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,19,SSAGA_Income,Subject Information > Demographics.SSAGA_Income,Subject Information > Demographics,"category: Subject Information | assessment: Demographics | columnHeader: SSAGA_Income | description: Total household income: <$10,000 = 1,10K-19,999 = 2, 20K-29,999 = 3,30K-39,999 = 4, 40K-49,999 = 5, 50K-74,999 = 6, 75K-99,999 = 7, >=100,000 = 8 | fullDisplayName: Household Income","Total household income: <$10,000 = 1,10K-19,999 = 2, 20K-29,999 = 3,30K-39,999 = 4, 40K-49,999 = 5, 50K-74,999 = 6, 75K-99,999 = 7, >=100,000 = 8 Household Income",determine,Total Household Income,0.0,singleton_title,,No Condition,Subject Information,Demographics,Total,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,20,SSAGA_Educ,Subject Information > Demographics.SSAGA_Educ,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: SSAGA_Educ | description: Years of education completed: <11 = 11; 12; 13; 14; 15; 16; 17+ = 17 | fullDisplayName: Education,Years of education completed: <11 = 11; 12; 13; 14; 15; 16; 17+ = 17 Education,determine,Group Participant Age Range,0.834,description_title,,No Condition,Subject Information,Demographics,Other,Other
HCP_S1200_DataDictionary_Oct_30_2023.csv,21,SSAGA_InSchool,Subject Information > Demographics.SSAGA_InSchool,Subject Information > Demographics,category: Subject Information | assessment: Demographics | columnHeader: SSAGA_InSchool | description: Is respondent still in school for degree course? no = 0; yes = 1 | fullDisplayName: Still in School,Is respondent still in school for degree course? no = 0; yes = 1 Still in School,determine,Yes Relationship Status,0.319,keybert,,No Condition,Subject Information,Demographics,Other,Other
