Node,Confidence,Source,Embedding sim,Alternatives
Self Reported Ethnicity,0.542,keybert,0.625,"self reported racial, id strictly self-report, Self Reported"
Quarter Behavioral Data,0.266,keybert,0.525,"acquisition quarter, quarter behavioral, quarter relative start"
Yes Relationship Status,0.319,keybert,0.601,"employment status, respondent still school, participant employment status"
Gender,0.26,keybert,0.501,hcp id
Group Participant Age Range,0.834,description_title,0.874,"group participant age, participant age range, age participant years"
Percentage Task Fmri,0.41,keybert,0.84,"task fmri percent, fmri processing percent, fmri language percent"
Gambling Task Fmri,0.438,keybert,0.845,"task fmri gambling, fmri gambling, fmri gambling percent"
State Fmri Count,0.312,keybert,0.676,"fmri count, state fmri scans"
Scans Collected Scan Count,0.79,description_title,0.836,"collected scan count, scan count, scans collected scan"
Timepoints Task Fmri,0.329,keybert,0.698,"fmri protocol completed, task fmri protocol, relational task fmri"
Percentage Diffusion Mri,0.41,keybert,0.788,"diffusion mri completed, diffusion mri percent, complete diffusion mri"
Diffusion Mri Completed,0.385,keybert,0.729,"diffusion mri protocol, complete diffusion mri, full diffusion mri"
Fmri Movie Protocol,0.332,keybert,0.669,"fmri protocol completed, fmri retinotopy protocol, movie task fmri"
Data Complete Resting,0.275,keybert,0.532,"anatomy data complete, noise data complete, data complete noise"
Story Math Data,0.372,keybert,0.652,"available story math, story math, complete story math"
Ssaga Marijuana Dependence,0.378,keybert,0.666,"ssaga tobacco dependence, completed ssaga marijuana, data completed ssaga"
Compl Description,0.448,description_title,0.212,"compl description penn, compl description mini, test completed"
Non-Toolbox Battery Completed,0.433,keybert,0.747,"behavioral battery completed, toolbox battery completed, battery completed full"
Asr-Syn Compl Description,0.52,description_title,0.34,"asr-syn compl, asr-syn, der asr-syn compl"
Mr Session Scanner,0.41,keybert,0.847,"scanner particular mr, session scanner, scanner particular"
Mri Session Labels,0.427,keybert,0.843,"label mri session, specific label mri, label mri"
Parentheses Indicate Scan,0.339,keybert,0.658,"scan count type, indicate scan count, type scan mr"
Scan Session Scans,0.295,keybert,0.611,"scanner particular, scanner particular session, scan session"
Blood Sample,0.363,keybert,0.681,"hematocrit sample, women hematocrit sample, blood sample percentage"
Participant Menstrual Cycles,0.376,keybert,0.747,"participant age menstrual, participant menstrual, menstrual age cycles"
Bmi,0.715,description_title,0.698,"bmi body, bmi body mass, bmi their"
Applicable Hypothyroidism Age,0.349,keybert,0.675,"applicable hyperthyroidism age, hypothyroidism age onset, hypothyroidism age"
Birth Control Progesterone,0.369,keybert,0.675,"progesterone fertility drugs, participant birth control, control pills progesterone"
Systolic Blood Pressure,0.375,keybert,0.7,"blood pressure systolic, diastolic blood pressure, blood pressure diastolic"
Yes Father Bipolar,0.254,keybert,0.537,"father depression yes, yes father depression, father bipolar disorder"
Disease Dementia Yes,0.277,keybert,0.55,"parkinson disease yes, father parkinson disease, father alzheimer disease"
Drug Alcohol Problems,0.304,keybert,0.545,"father drug alcohol, mother drug alcohol, alcohol problems yes"
Father Anxiety Yes,0.355,keybert,0.688,"yes father anxiety, mother anxiety yes, anxiety yes father"
Schizophrenia Psychosis Yes,0.343,keybert,0.661,"mother schizophrenia psychosis, father schizophrenia psychosis, psychosis yes father"
Father Tourette Syndrome,0.345,keybert,0.674,"mother tourette syndrome, tourette syndrome yes, yes father tourette"
Psqi Compl Description,0.422,description_title,0.16,"psqi past month, psqi compl, psqi"
Description,0.386,description_title,0.079,"description quality, describe, description quality index"
Psqi Past Month,0.475,keybert,0.44,psqi past
Der Psqi Compl,0.34,keybert,0.165,
Index Psqi,0.376,keybert,0.286,
Test Matrix,0.517,keybert,0.411,
Delayed Reward Subjective,0.323,keybert,0.714,"delays fixed reward, larger delayed reward, undervaluing rewards delayed"
Larger Delayed Reward,0.306,keybert,0.68,"delays fixed reward, undervaluing rewards delayed, rewards delayed time"
Undervaluing Rewards Delayed,0.278,keybert,0.617,choice immediate amount
Area Under Curve,0.51,description_title,0.292,"curve area under, under curve area, curve area"
Total Positions Off,0.208,keybert,0.391,"trials total positions, total positions, positions off trials"
Sum Cpn Fp,0.275,keybert,0.513,"cpt true positives, sum cpn tp, cpt false negatives"
Non-Responses Longest Run,0.31,keybert,0.58,"longest run non-responses, non-responses longest, run non-responses longest"
Anger Identifications Correct,0.288,keybert,0.575,"correct anger identifications, anger identifications, correct fear identifications"
Aggression Scores Mean,0.31,keybert,0.62,"hostility scores mean, angry feelings scores, levels hostility scores"
Self-Report Measure Adults,0.285,keybert,0.602,"scores indicate self-reported, self-reported scores mean, self-reported scores"
Loneliness Scores,0.323,keybert,0.66,"loneliness scores mean, levels loneliness scores, scores indicative loneliness"
Perceived Hostility Scores,0.335,keybert,0.659,"perceived hostility survey, perceived rejection scores, hostility scores mean"
Brain Segmentation Volume,0.781,description_title,0.877,"brain segmentation, estimated intra-cranial volume, intra-cranial volume"
Total Defect Holes,0.582,keybert,0.824,"Prior Fixing, lh prior fixing, defect holes rh"
Etiv,0.582,description_title,0.418,"ratio maskvol etiv, ratio brainsegvol etiv, maskvol etiv"
Supratentorial Volume,0.715,keybert,0.948,"Supratentorial, supratentorial ventricals volume, supratentorial ventricals"
Gray Matter Volume,0.637,keybert,0.761,"white matter volume, Matter Volume, total gray matter"
Wm-Hypointensities,0.439,keybert,0.785,"left-wm-hypointensities, left-non-wm-hypointensities, right-wm-hypointensities"
Cc Anterior,0.154,keybert,0.319,"cc mid anterior, cc posterior, cc mid posterior"
Left-Vessel,0.417,keybert,0.773,right-vessel
Right-Putamen,0.139,keybert,0.308,"left-putamen, right-thalamus-proper, left-thalamus-proper"
Right-Cerebellum-Cortex,0.228,keybert,0.483,"left-cerebellum-cortex, right-cerebellum-white-matter, left-cerebellum-white-matter"
Left-Hippocampus,0.235,keybert,0.489,right-hippocampus
Left-Amygdala,0.276,keybert,0.547,right-amygdala
Right-Choroid-Plexus,0.285,keybert,0.551,left-choroid-plexus
Rd-Ventricle,0.28,keybert,0.559,"th-ventricle, right-lateral-ventricle, left-lateral-ventricle"
Right-Ventraldc,0.246,keybert,0.498,left-ventraldc
Right-Inf-Lat-Vent,0.144,keybert,0.321,left-inf-lat-vent
Gyrus Right Precentral,0.19,keybert,0.416,"gyrus right superiortemporal, gyrus right inferiortemporal, gyrus right middletemporal"
Cortex Right Entorhinal,0.225,keybert,0.5,"cortex left entorhinal, cortex right inferiorparietal, cortex right superiorparietal"
Inferior Frontal Gyrus,0.201,keybert,0.447,"gyrus left parsorbitalis, gyrus right parsorbitalis, gyrus right parsopercularis"
Pole Right Frontalpole,0.189,keybert,0.371,"pole right temporalpole, pole left temporalpole, right frontalpole average"
Gyrus Right Posteriorcingulate,0.219,keybert,0.46,"gyrus left posteriorcingulate, gyrus right isthmuscingulate, cingulate gyrus right"
Gyrus Right Caudalmiddlefrontal,0.244,keybert,0.529,"gyrus right rostralmiddlefrontal, gyrus left caudalmiddlefrontal"
Cortex Right Caudalanteriorcingulate,0.247,keybert,0.521,"cortex left caudalanteriorcingulate, cortex left rostralanteriorcingulate, anterior cingulate cortex"
Gyrus Right Parahippocampal,0.258,keybert,0.539,"gyrus left parahippocampal, parahippocampal average, right parahippocampal average"
Superior Temporal Sulcus,0.162,keybert,0.348,"superior temporal, temporal sulcus left, temporal sulcus"
Right Insula Average,0.193,keybert,0.374,"insula average, left insula average, right insula"
Cortex Right Medialorbitofrontal,0.222,keybert,0.488,"cortex left medialorbitofrontal, orbital frontal cortex, cortex right lateralorbitofrontal"
Cortex Right Lateraloccipital,0.234,keybert,0.486,"cortex left lateraloccipital, occipital cortex right, occipital cortex"
Sulcus Right Paracentral,0.166,keybert,0.327,"sulcus left paracentral, paracentral, right paracentral average"
Cortex Right Transversetemporal,0.248,keybert,0.524,"cortex left transversetemporal, temporal cortex left, temporal cortex"
Cortex Right Pericalcarine,0.241,keybert,0.51,"cortex left pericalcarine, right pericalcarine average, cortex"
Gyrus Right Lingual,0.236,keybert,0.488,"gyrus left lingual, lingual, lingual average"
Cortex Right Insula,0.241,keybert,0.53,"cortex left insula, cortex right transversetemporal, cortex left transversetemporal"
Cortex Left Medialorbitofrontal,0.221,keybert,0.489,"cortex right medialorbitofrontal, orbital frontal cortex, cortex right lateralorbitofrontal"
Cortex Left Caudalanteriorcingulate,0.256,keybert,0.543,"cortex right caudalanteriorcingulate, cortex left rostralanteriorcingulate, cortex right rostralanteriorcingulate"
Gyrus Right Superiortemporal,0.218,keybert,0.485,"gyrus right inferiortemporal, gyrus right middletemporal, gyrus left superiortemporal"
Cortex Right Inferiorparietal,0.246,keybert,0.526,"cortex right superiorparietal, cortex left inferiorparietal, cortex left superiorparietal"
Median Reaction Times,0.34,keybert,0.646,"average median reaction, overall reaction time, face median reaction"
Accuracy Percentage Face,0.361,keybert,0.677,"accuracy percentage overall, percentage overall accuracy, accuracy percentage shape"
Reaction Time Reward,0.294,keybert,0.589,"reaction times trials, median reaction times, reaction time punish"
Percentage Reward Trials,0.301,keybert,0.669,"percentage larger reward, percentage smaller reward, prediction percentage larger"
Percentage Trials Response,0.307,keybert,0.663,"reward trials response, trials response logged, overall percentage trials"
Percentage Larger Punish,0.339,keybert,0.729,"percentage smaller punish, percentage punish trials, percentage punish"
Difficulty Level Stimuli,0.277,keybert,0.531,"story median reaction, correct reaction time, stimuli presented math"
Accuracy Percentage Math,0.341,keybert,0.647,"accuracy percentage story, accuracy condition overall, accuracy percentage"
Accuracy Percentage Overall,0.322,keybert,0.582,"percentage overall accuracy, accuracy percentage match, accuracy percentage blocks"
Cial Tom Perc Random,0.582,description_title,0.509,"tom perc random, cial tom perc, percentage tom random"
Percentage Stimuli Response,0.318,keybert,0.686,"stimuli response logged, overall percentage stimuli, percentage stimuli"
Rating Percentage Unsure,0.286,keybert,0.59,unsure rating percentage
Stimuli Received Unsure,0.263,keybert,0.584,"rating median reaction, average median reaction, median reaction times"
Percentage Random Stimuli,0.364,keybert,0.763,"random stimuli subject, rated random percentage"
Time Random Stimuli,0.303,keybert,0.629,"random median reaction, random stimuli subject, reaction time random"
Accuracy Across Trials,0.265,keybert,0.589,"accuracy back place, trials back place, accuracy back"
Trials Back Tool,0.248,keybert,0.55,"accuracy back tool, tool condition accuracy, back tool nontargets"
Accuracy Back Face,0.303,keybert,0.618,"face condition accuracy, trials back face, back face targets"
Median Reaction Time,0.217,keybert,0.482,"tool condition median, reaction time back, target trials back"
Face Condition Median,0.225,keybert,0.459,"reaction time back, trials back face, reaction time across"
Reaction Time Back,0.217,keybert,0.482,"condition median reaction, correct trials back, reaction time across"
Accuracy Back Place,0.261,keybert,0.574,"trials back place, target trials back, accuracy back"
Back Median Reaction,0.245,keybert,0.535,"reaction time conditions, average median"
Accuracy Back Body,0.279,keybert,0.621,"body condition accuracy, trials back body, back body nontargets"
Body Condition Median,0.21,keybert,0.442,"trials back body, reaction time across, back body targets"
Body Condition Accuracy,0.264,keybert,0.579,"trials back body, back body nontargets"
Accuracy Back Tool,0.259,keybert,0.567,"tool condition accuracy, back tool targets, target trials back"
Conscientiousness Scale Neo-Ffi,0.382,keybert,0.785,"neo-ffi conscientiousness, neuroticism scale neo-ffi"
Am Methodical Person,0.188,keybert,0.41,"methodical person am, high-spirited person am, tough-minded my attitudes"
Energy Often Feel,0.238,keybert,0.475,"feel chill wave, often feel am, stress sometimes feel"
Myself Especially Lighthearted,0.239,keybert,0.484,"laugh easily, easily laugh"
Life Fast-Paced My,0.302,keybert,0.587,"my life fast-paced, fast-paced my life, life fast-paced"
Depressed Am Seldom,0.294,keybert,0.59,"seldom sad depressed, am seldom sad, rarely feel lonely"
T-Score Asr Anxiety,0.305,keybert,0.679,"t-score asr depressive, anxiety problems gender, depressive problems gender"
Asr-Syn Compl Description,0.512,description_title,0.36,"compl description asr, asr-syn compl, description asr"
Asr Somatic Problems,0.264,keybert,0.562,"raw asr somatic, raw asr ad, asr ad problems"
Somatic Problems Gender,0.272,keybert,0.561,"gender age adjusted, ad problems gender, t-score asr somatic"
Der Asr-Syn Compl,0.506,keybert,0.447,description asr
Description Asr Withdrawn,0.483,keybert,0.614,asr withdrawn
Description Asr Anxious,0.455,keybert,0.628,
T-Score Asr Avoidant,0.263,keybert,0.585,"asr avoidant problems, adjusted t-score asr, asr avoidant"
T-Score Asr Antisocial,0.335,keybert,0.708,"asr antisocial problems, asr antisocial, antisocial problems"
